iterations,groundtruth_num,num_detections,nms_threshold,confidence_threshold,precision,recall,f1_score
1,81,227450,0.5,0.4,0.00038624578750688,0.9876543209876543,0.0007721895918495388
2,81,260015,0.5,0.4,0.00033098472091782065,0.9876543209876543,0.0006617476756112894
3,81,228141,0.5,0.4,0.0004611190205832003,0.9876543209876543,0.0009218076648307331
4,81,202356,0.5,0.4,0.0004650108405652207,0.9876543209876543,0.0009295840111550081
5,81,182000,0.5,0.4,0.0014051110915956793,0.9876543209876543,0.002806229830223095
6,81,129230,0.5,0.4,0.0007275637527738368,0.9876543209876543,0.0014540563628597655
7,81,269275,0.5,0.4,0.0003644701572757932,0.9753086419753086,0.0007286680133189444
8,81,188707,0.5,0.4,0.0005440548407279454,0.9876543209876543,0.0010875106202209005
9,81,236149,0.5,0.4,0.00043406593406593405,0.9753086419753086,0.0008677456736287697
10,81,277081,0.5,0.4,0.0003385022773919042,0.9753086419753086,0.0006767696670121904
11,81,165491,0.5,0.4,0.0009097695250536531,0.9629629629629629,0.0018178216437302634
12,81,153538,0.5,0.4,0.0006394832974956236,0.9876543209876543,0.0012781390295729417
13,81,306244,0.5,0.4,0.0002978490772333968,0.9753086419753086,0.0005955162900088951
14,81,232450,0.5,0.4,0.00043746227580058366,0.9753086419753086,0.0008745322912746032
15,81,224083,0.5,0.4,0.0005481066341456731,0.9876543209876543,0.0010956052534271902
16,81,202093,0.5,0.4,0.0004225984522331687,0.9876543209876543,0.0008448354155006179
17,81,227609,0.5,0.4,0.00035771936021892424,0.9876543209876543,0.0007151796888968353
18,81,203763,0.5,0.4,0.0005535762444819804,0.9629629629629629,0.0011065163885007414
19,81,161826,0.5,0.4,0.0004944824521322208,0.9753086419753086,0.0009884637521583545
20,81,181564,0.5,0.4,0.0004436877104050314,0.9876543209876543,0.0008869769607734439
